Date,Close
2021-04-26,154.1347
2021-04-27,154.4974
2021-04-28,153.8788
2021-04-30,153.4529
2021-05-03,153.3619
2021-05-04,153.2405
2021-05-05,153.0399
2021-05-06,152.5964
2021-05-07,152.2753
2021-05-18,152.8905
2021-05-19,153.2234
2021-05-20,153.4556
2021-05-24,153.6982
2021-05-25,154.3745
2021-05-26,154.7813
2021-05-27,154.8356
2021-05-28,154.4341
2021-05-31,154.3988
2021-06-01,154.5364
2021-06-02,154.7731
2021-06-03,154.787
2021-06-04,154.6191
2021-06-08,155.7818
2021-06-09,155.6906
2021-06-10,155.9167
2021-06-11,155.743
2021-06-14,156.1878
2021-06-15,156.7853
2021-06-16,156.9601
2021-06-17,156.7446
2021-06-18,156.8926
2021-06-21,157.5104
2021-06-22,158.1866
2021-06-23,158.5307
2021-06-24,157.6783
2021-06-25,157.6175
2021-06-28,158.2164
2021-06-29,157.7416
2021-06-30,157.5437
2021-07-02,157.8722
