Date,Close
2020-07-14,112700
2020-07-15,113000
2020-07-16,112400
2020-07-17,113400
2020-07-18,112800
2020-07-19,112800
2020-07-20,119300
2020-07-21,114700
2020-07-22,116900
2020-07-23,117600
2020-07-24,118800
2020-07-25,119300
2020-07-26,119300
2020-07-27,121100
2020-07-28,120500
2020-07-29,121500
2020-07-30,122000
2020-07-31,123400
2020-08-01,124100
2020-08-02,124100
2020-08-03,123700
2020-08-04,123400
2020-08-05,126800
2020-08-06,128900
2020-08-07,130000
2020-08-08,128400
2020-08-09,128400
2020-08-10,128000
2020-08-11,127400
2020-08-12,118700
2020-08-13,121300
2020-08-14,123100
2020-08-15,122700
2020-08-16,122700
2020-08-17,127400
2020-08-18,122400
2020-08-19,124900
2020-08-20,125600
2020-08-21,122800
2020-08-22,122400
2020-08-23,122400
2020-08-24,111000
2020-08-25,119300
2020-08-26,121400
2020-08-27,122700
2020-08-28,121700
2020-08-29,123200
2020-08-30,123200
2020-08-31,123600
2020-09-01,123300
2020-09-02,123800
2020-09-03,120300
2020-09-04,120000
2020-09-05,120100
2020-09-06,120100
2020-09-07,120000
2020-09-08,119600
2020-09-09,120300
2020-09-10,121300
2020-09-11,120800
2020-09-12,120900
2020-09-13,120900
2020-09-14,121100
2020-09-15,122400
2020-09-16,122100
2020-09-17,120900
2020-09-18,121600
2020-09-19,121500
2020-09-20,121500
2020-09-21,121300
2020-09-22,119300
2020-09-23,117500
2020-09-24,115400
2020-09-25,116200
2020-09-26,115400
2020-09-27,115400
2020-09-28,115600
2020-09-29,113800
2020-09-30,115400
2020-10-01,116900
2020-10-02,117100
2020-10-03,117100
2020-10-04,117100
2020-10-05,116700
2020-10-07,116700
2020-10-08,115900
2020-10-09,117100
2020-10-12,117100
2020-10-13,117100
2020-10-14,116300
2020-10-15,116300
2020-10-16,116300
2020-10-19,115800
2020-10-20,115600
2020-10-21,115600
2020-10-22,115600
2020-10-23,115400
2020-10-26,115200
2020-10-26,115200
2020-10-27,115200
2020-10-28,115300
2020-10-29,115300
2020-10-25,115200
2020-10-26,115200
2020-10-27,115200
2020-10-28,115300
2020-10-29,115300
2020-10-30,115300
2020-11-02,115300
2020-11-03,115300
2020-11-04,113500
2020-11-05,113500
2020-11-06,116100
2020-11-09,116100
2020-11-10,111800
2020-11-11,111800
2020-11-12,110800
2020-11-13,110800
2020-11-16,110800
2020-11-17,110800
2020-11-18,112700
2020-11-19,112700
2020-11-20,112000
2020-11-23,112800
2020-11-24,112800
2020-11-25,112800
2020-11-26,107800
2020-11-27,107800
2020-11-30,107800
2020-12-01,106300
2020-12-02,108700
2020-12-03,108700
2020-12-04,110100
2020-12-07,110300
2020-12-08,110300
2020-12-09,110300
2020-12-10,110300
2020-12-11,110500
2020-12-14,110300
2020-12-15,110300
2020-12-16,111600
2020-12-17,111600
2020-12-18,111600
2020-12-21,111600
2020-12-22,112400
2020-12-23,112400
2020-12-24,112400
2020-12-25,112400
2020-12-28,113400
2020-12-29,113400
2020-12-30,113400
2020-12-31,113400
2021-01-01,114200
2021-01-04,114200
2021-01-05,116100
2021-01-06,116100
2021-01-07,116100
2021-01-08,116100
2021-01-11,110900
2021-01-12,114300
2021-01-13,114300
2021-01-14,114300
2021-01-15,111400
2021-01-18,111400
2021-01-19,109900
2021-01-20,109900
2021-01-21,109900
2021-01-22,112100
2021-01-25,112100
2021-01-26,111700
2021-01-27,111700
2021-01-28,111700
2021-01-29,111700
2021-02-01,111700
2021-02-02,111700
2021-02-03,111700
2021-02-04,109200
2021-02-05,109200
2021-02-08,109200
2021-02-09,109200
2021-02-10,108500
2021-02-11,108500
2021-02-12,108500
2021-02-15,108500
2021-02-16,108500
2021-02-17,108600
2021-02-18,108600
2021-02-19,108600
2021-02-22,108700
2021-02-23,108600
2021-02-24,108600
2021-02-25,108600
