End_Period,SBP,Banks,Total
2018-05-11,10798.9,6268.1,17067
2018-05-18,10320.2,6332.0,16652.2
2018-05-25,10033.8,6373.0,16406.8
2018-06-01,10041.6,6378.0,16419.6
2018-06-08,10065.6,6391.5,16457.1
2018-06-14,10264.3,6533.7,16798
2018-06-22,9662.5,6581.4,16243.9
2018-06-29,9789.0,6618.4,16407.4
2018-07-06,9479.5,6604.8,16084.3
2018-07-13,9063.6,6618.9,15682.5
2018-07-20,9010.7,6718.1,15728.800000000001
2018-07-27,10349.7,6730.0,17079.7
2018-08-03,10369.1,6635.9,17005
2018-08-10,10152.6,6560.2,16712.8
2018-08-17,10234.8,6488.0,16722.8
2018-08-24,10226.7,6458.4,16685.1
2018-08-31,9885.2,6504.7,16389.9
2018-09-07,9624.4,6445.5,16069.9
2018-09-14,9328.8,6461.3,15790.099999999999
2018-09-19,9036.2,6485.3,15521.5
2018-09-28,8408.7,6512.0,14920.7
2018-10-05,8307.8,6544.3,14852.099999999999
2018-10-12,8088.9,6525.0,14613.9
2018-10-19,7825.0,6470.8,14295.8
2018-10-26,7776.9,6407.6,14184.5
2018-11-02,7678.9,6389.2,14068.099999999999
2018-11-09,7482.9,6349.1,13832
2018-11-16,7286.5,6428.5,13715
2018-11-23,8062.4,6510.2,14572.599999999999
2018-11-30,7502.1,6494.0,13996.1
2018-12-07,7260.4,6493.5,13753.9
2018-12-14,8048.4,6536.2,14584.599999999999
2018-12-21,7457.3,6560.5,14017.8
2018-12-28,7287.5,6550.3,13837.8
2019-01-04,7048.7,6548.3,13597
2019-01-11,6901.2,6588.0,13489.2
2019-01-18,6636.1,6621.1,13257.2
2019-01-25,8154.3,6648.2,14802.5
2019-02-01,8192.5,6692.6,14885.1
2019-02-08,8205.9,6689.9,14895.8
2019-02-15,8043.0,6751.6,14794.6
2019-02-22,8036.8,6779.0,14815.8
2019-03-01,8116.5,6839.7,14956.2
2019-03-08,8122.9,6843.0,14965.9
2019-03-15,8838.7,6870.9,15709.6
2019-03-22,8560.9,6913.0,15473.9
2019-03-29,10492.2,6925.1,17417.300000000003
2019-04-05,10271.9,6956.4,17228.3
2019-04-12,9243.7,6952.2,16195.900000000001
2019-04-19,9024.3,6970.0,15994.3
2019-04-26,8805.2,6937.6,15742.800000000001
2019-05-03,8984.1,6988.5,15972.6
2019-05-10,8845.6,7048.8,15894.400000000001
2019-05-17,8057.6,7068.9,15126.5
2019-05-24,8010.2,7079.6,15089.8
2019-05-31,7862.6,7018.9,14881.5
2019-06-03,7807.2,7019.7,14826.9
2019-06-14,7604.5,7034.6,14639.1
2019-06-21,7282.1,7069.2,14351.3
2019-06-28,7285.2,7196.4,14481.599999999999
